title,director,cast,genres,revenue,vote_average,popularity
Joy (2015),David O. Russell,Jennifer Lawrence / Bradley Cooper / Robert De Niro,Drama / Comedy,101134059,6.4,29.876507
Kung Fu Hustle (2004),Stephen Chow,Stephen Chow / Yuen Wah / Yuen Qiu,Action / Comedy / Crime / Fantasy,100914445,7.2,13.658985
Courage Under Fire (1996),Edward Zwick,Denzel Washington / Meg Ryan / Lou Diamond Phillips,Drama / Thriller / Mystery / War,100860818,6.2,12.971122
Fight Club (1999),David Fincher,Edward Norton / Brad Pitt / Meat Loaf,Drama,100853753,8.3,146.757391
My Bloody Valentine (2009),Patrick Lussier,Jensen Ackles / Jaime King / Kerr Smith,Mystery / Horror,100734718,5.3,13.706357
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)",Miguel Arteta,Steve Carell / Jennifer Garner / Ed Oxenbould,Family / Comedy,100654149,6.1,22.14595
Tammy (2014),Ben Falcone,Melissa McCarthy / Susan Sarandon / Kathy Bates,Comedy,100525432,5.0,21.657563
Little Miss Sunshine (2006),Jonathan Dayton,Greg Kinnear / Toni Collette / Steve Carell,Comedy / Drama,100523181,7.5,14.793177
The Rugrats Movie (1998),Norton Virgien,Whoopi Goldberg / David Spade / E.G. Daily,Animation / Family,100491683,5.7,7.981116
Any Given Sunday (1999),Oliver Stone,Al Pacino / Cameron Diaz / Dennis Quaid,Drama,100230832,6.8,23.127561
The Hunchback of Notre Dame (1996),Gary Trousdale,Tom Hulce / Demi Moore / Tony Jay,Drama / Animation / Family,100138851,6.8,46.727941
Philomena (2013),Stephen Frears,Judi Dench / Steve Coogan / Sophie Kennedy Clark,Drama,100129872,7.4,29.019504
Where the Wild Things Are (2009),Spike Jonze,Max Records / Catherine Keener / Lauren Ambrose,Family / Fantasy,100086793,6.4,31.586215
Nim's Island (2008),Jennifer Flackett,Abigail Breslin / Jodie Foster / Gerard Butler,Adventure / Comedy / Family / Fantasy,100076342,5.6,14.353279
Don't Say a Word (2001),Gary Fleder,Michael Douglas / Sean Bean / Brittany Murphy,Thriller,100020092,6.0,11.596207
Baahubali: The Beginning (2015),S.S. Rajamouli,Prabhas / Rana Daggubati / Tamanna Bhatia,Action / Adventure / War / History,100000000,7.5,16.254032
Project X (2012),Nima Nourizadeh,Oliver Cooper / Jonathan Daniel Brown / Thomas Mann,Comedy / Crime,100000000,6.5,49.070321
Conan the Destroyer (1984),Richard Fleischer,Arnold Schwarzenegger / Grace Jones / Wilt Chamberlain,Adventure / Fantasy / Action,100000000,5.8,18.379124
Spice World (1997),Bob Spiers,Victoria Beckham / Melanie Brown / Emma Bunton,Adventure / Fantasy / Drama / Comedy / Music,100000000,4.7,6.889437
Mad Max (1979),George Miller,Mel Gibson / Joanne Samuel / Hugh Keays-Byrne,Adventure / Action / Thriller / Science Fiction,100000000,6.6,33.142185
Hitman (2007),Xavier Gens,Timothy Olyphant / Dougray Scott / Olga Kurylenko,Action / Crime / Drama / Thriller,99965753,5.9,42.669304
Street Fighter (1994),Steven E. de Souza,Jean-Claude Van Damme / Raúl Juliá / Ming-Na Wen,Action / Adventure / Thriller,99423521,4.1,19.286099
The Lucky One (2012),Scott Hicks,Zac Efron / Blythe Danner / Taylor Schilling,Drama / Romance,99357138,6.8,26.811541
Hellboy (2004),Guillermo del Toro,Ron Perlman / Selma Blair / Rupert Evans,Fantasy / Action / Science Fiction,99318987,6.5,47.479755
Blue Jasmine (2013),Woody Allen,Cate Blanchett / Alec Baldwin / Sally Hawkins,Comedy / Drama,99206215,7.0,34.694216
Instructions Not Included (2013),Eugenio Derbez,Loreto Peralta / Eugenio Derbez / Jessica Lindsey,Comedy / Drama,99067206,7.5,9.59729
Black Mass (2015),Scott Cooper,Johnny Depp / Joel Edgerton / Benedict Cumberbatch,Crime / Drama,98837872,6.3,46.049902
The Visit (2015),M. Night Shyamalan,Olivia DeJonge / Ed Oxenbould / Kathryn Hahn,Horror / Thriller,98450062,6.0,38.94708
Justin Bieber: Never Say Never (2011),Jon M. Chu,Justin Bieber / Miley Cyrus / Usher Raymond,Documentary / Music / Family,98441954,4.8,6.735922
Crash (2004),Paul Haggis,Sandra Bullock / Don Cheadle / Matt Dillon,Drama,98410061,7.2,28.223163
Riddick (2013),David Twohy,Vin Diesel / Karl Urban / Katee Sackhoff,Science Fiction / Action / Thriller,98337295,6.2,46.630062
Predator (1987),John McTiernan,Arnold Schwarzenegger / Carl Weathers / Elpidia Carrillo,Science Fiction / Action / Adventure / Thriller,98235548,7.3,50.009408
Once Upon a Time in Mexico (2003),Robert Rodriguez,Antonio Banderas / Salma Hayek / Johnny Depp,Action,98185582,6.2,27.555646
Killers (2010),Robert Luketic,Katherine Heigl / Ashton Kutcher / Tom Selleck,Action / Comedy / Thriller / Romance,98159963,5.7,23.004607
The Thin Red Line (1998),Terrence Malick,Sean Penn / Adrien Brody / Jim Caviezel,Drama / History / War,98126565,7.2,40.072583
Are We There Yet? (2005),Brian Levant,Ice Cube / Nia Long / Aleisha Allen,Adventure / Comedy / Family / Romance,97918663,5.2,13.590677
Phone Booth (2002),Joel Schumacher,Colin Farrell / Kiefer Sutherland / Forest Whitaker,Thriller / Drama,97837138,6.7,38.018085
Silent Hill (2006),Christophe Gans,Radha Mitchell / Sean Bean / Laurie Holden,Horror / Mystery,97607453,6.3,32.927994
Safe Haven (2013),Lasse Hallström,Julianne Hough / Josh Duhamel / Cobie Smulders,Romance,97594140,6.9,37.729059
The Man with the Golden Gun (1974),Guy Hamilton,Roger Moore / Christopher Lee / Britt Ekland,Adventure / Action / Thriller,97572000,6.3,30.214716
The Little Prince (2015),Mark Osborne,Jeff Bridges / Rachel McAdams / Paul Rudd,Adventure / Animation / Fantasy,97571250,7.6,35.384423
Paul (2011),Greg Mottola,Seth Rogen / Simon Pegg / Nick Frost,Adventure / Comedy / Science Fiction,97552050,6.5,43.151268
Evil Dead (2013),Fede Alvarez,Jane Levy / Shiloh Fernandez / Lou Taylor Pucci,Horror,97542952,6.4,33.912116
The Book of Life (2014),Jorge R. Gutierrez,Diego Luna / Channing Tatum / Zoe Saldana,Romance / Animation / Adventure / Comedy / Family / Fantasy,97437106,7.3,34.890999
Scream 4 (2011),Wes Craven,David Arquette / Neve Campbell / Courteney Cox,Horror / Mystery,97138686,6.1,35.21926
Insidious (2010),James Wan,Patrick Wilson / Rose Byrne / Ty Simpkins,Horror / Thriller,97009150,6.8,58.594852
Enemy at the Gates (2001),Jean-Jacques Annaud,Jude Law / Rachel Weisz / Ed Harris,War,96976270,7.2,41.273567
Star Trek VI: The Undiscovered Country (1991),Nicholas Meyer,William Shatner / Leonard Nimoy / DeForest Kelley,Science Fiction / Action / Adventure / Thriller,96900000,6.7,16.188572
Jarhead (2005),Sam Mendes,Jamie Foxx / Jake Gyllenhaal / Scott MacDonald,Drama / War,96889998,6.6,32.227223
Star Trek II: The Wrath of Khan (1982),Nicholas Meyer,William Shatner / Leonard Nimoy / DeForest Kelley,Action / Adventure / Science Fiction / Thriller,96800000,7.3,22.434102
8MM (1999),Joel Schumacher,Nicolas Cage / Joaquin Phoenix / James Gandolfini,Thriller / Crime / Mystery,96618699,6.1,25.580272
13 Going on 30 (2004),Gary Winick,Jennifer Garner / Mark Ruffalo / Judy Greer,Comedy / Fantasy / Romance,96455697,6.3,41.569541
Vicky Cristina Barcelona (2008),Woody Allen,Scarlett Johansson / Rebecca Hall / Javier Bardem,Drama / Romance,96408652,6.7,32.758254
Paycheck (2003),John Woo,Ben Affleck / Aaron Eckhart / Uma Thurman,Action / Adventure / Mystery / Science Fiction / Thriller,96269812,5.9,29.018826
Kick-Ass (2010),Matthew Vaughn,Aaron Taylor-Johnson / Chloë Grace Moretz / Christopher Mintz-Plasse,Action / Crime,96188903,7.1,45.054936
The Manchurian Candidate (2004),Jonathan Demme,Denzel Washington / Meryl Streep / Liev Schreiber,Drama / Thriller / Mystery,96105964,6.2,21.394281
The 6th Day (2000),Roger Spottiswoode,Arnold Schwarzenegger / Michael Rapaport / Tony Goldwyn,Science Fiction,96085477,5.7,18.447479
Think Like a Man (2012),Tim Story,Michael Ealy / Jerry Ferrara / Meagan Good,Comedy / Romance,96070507,6.9,6.035152
The Butterfly Effect (2004),Eric Bress,Ashton Kutcher / Melora Walters / Amy Smart,Science Fiction / Thriller,96060858,7.3,73.307513
The Rite (2011),Mikael Håfström,Anthony Hopkins / Colin O'Donoghue / Alice Braga,Drama / Thriller / Horror,96047633,5.8,11.492474
My Sister's Keeper (2009),Nick Cassavetes,Cameron Diaz / Alec Baldwin / Abigail Breslin,Drama,95714875,7.1,24.09152
Underworld (2003),Len Wiseman,Kate Beckinsale / Scott Speedman / Michael Sheen,Fantasy / Action / Thriller,95708457,6.6,81.829237
Shooter (2007),Antoine Fuqua,Mark Wahlberg / Michael Peña / Danny Glover,Action / Drama / Mystery / Thriller / Crime,95696996,6.9,37.378081
TMNT (2007),Kevin Munroe,Chris Evans / Sarah Michelle Gellar / Mako,Adventure / Animation / Comedy / Family,95608995,6.0,18.39217
Dolphin Tale (2011),Charles Martin Smith,Morgan Freeman / Ashley Judd / Harry Connick Jr.,Drama / Family,95404397,6.7,6.63839
The Flowers of War (2011),Zhang Yimou,Christian Bale / Ni Ni / Tong Dawei,Drama / History / War,95311434,7.1,12.516546
Be Cool (2005),F. Gary Gray,John Travolta / Uma Thurman / Vince Vaughn,Comedy / Crime,95226116,5.4,18.61472
The Princess Diaries 2: Royal Engagement (2004),Garry Marshall,Anne Hathaway / Julie Andrews / Héctor Elizondo,Comedy / Drama / Family / Romance,95149435,6.0,30.002907
42 (2013),Brian Helgeland,Chadwick Boseman / T.R. Knight / Harrison Ford,Drama,95020213,6.8,31.884559
Captain Phillips (2013),Paul Greengrass,Tom Hanks / Catherine Keener / Max Martini,Action / Drama / Thriller,95000000,7.6,52.786917
Changing Lanes (2002),Roger Michell,Ben Affleck / Samuel L. Jackson / Kim Staunton,Action / Adventure / Crime / Thriller,94935764,5.9,17.270539
Green Zone (2010),Paul Greengrass,Matt Damon / Greg Kinnear / Brendan Gleeson,War / Action / Adventure / Drama / Thriller,94882889,6.4,30.254021
The Wedding Planner (2001),Adam Shankman,Jennifer Lopez / Matthew McConaughey / Justin Chambers,Comedy,94728529,5.5,14.949395
1408 (2007),Mikael Håfström,John Cusack / Samuel L. Jackson / Mary McCormack,Horror / Thriller,94679598,6.5,35.169779
Dirty Grandpa (2016),Dan Mazer,Zac Efron / Robert De Niro / Julianne Hough,Comedy,94073028,5.7,56.805781
Ben-Hur (2016),Timur Bekmambetov,Jack Huston / Toby Kebbell / Rodrigo Santoro,Drama,94061311,5.3,29.608322
Syriana (2005),Stephen Gaghan,George Clooney / Matt Damon / Jeffrey Wright,Drama / Thriller,94000000,6.3,16.871194
The Crow (1994),Alex Proyas,Brandon Lee / Rochelle Davis / Ernie Hudson,Fantasy / Action / Thriller,94000000,7.3,44.690107
Speed Racer (2008),Lilly Wachowski,Emile Hirsch / Christina Ricci / Matthew Fox,Action / Family / Science Fiction,93945766,5.7,17.060695
In the Heart of the Sea (2015),Ron Howard,Chris Hemsworth / Benjamin Walker / Cillian Murphy,Thriller / Drama / Adventure / Action / History,93820758,6.5,50.767332
Racing Stripes (2005),Frederik Du Chau,Frankie Muniz / Mandy Moore / Hayden Panettiere,Comedy,93772522,5.1,8.058109
Bicentennial Man (1999),Chris Columbus,Robin Williams / Sam Neill / Embeth Davidtz,Comedy / Science Fiction,93700000,6.9,24.939295
The Fighter (2010),David O. Russell,Mark Wahlberg / Christian Bale / Amy Adams,Drama,93617009,7.2,31.019381
The Lovely Bones (2009),Peter Jackson,Rachel Weisz / Mark Wahlberg / Susan Sarandon,Fantasy / Drama,93525586,6.6,29.257137
Cats & Dogs (2001),Lawrence Guterman,Jeff Goldblum / Elizabeth Perkins / Alexander Pollock,Comedy / Family,93375151,5.0,18.735024
Two Weeks Notice (2002),Marc Lawrence,Sandra Bullock / Hugh Grant / Alicia Witt,Romance / Comedy,93354918,5.9,24.153567
Money Monster (2016),Jodie Foster,George Clooney / Julia Roberts / Jack O'Connell,Thriller,93282604,6.5,38.279458
Nanny McPhee and the Big Bang (2010),Susanna White,Emma Thompson / Asa Butterfield / Ralph Fiennes,Comedy / Fantasy,93246388,6.0,23.835055
Michael Clayton (2007),Tony Gilroy,George Clooney / Tom Wilkinson / Tilda Swinton,Drama / Mystery / Crime,92991835,6.5,18.961323
Flashdance (1983),Adrian Lyne,Jennifer Beals / Michael Nouri / Lilia Skala,Drama / Music / Romance,92921203,6.1,18.422323
Secret Window (2004),David Koepp,Johnny Depp / John Turturro / Timothy Hutton,Thriller / Mystery,92913171,6.4,32.908414
House of Flying Daggers (2004),Zhang Yimou,Takeshi Kaneshiro / Andy Lau / Zhang Ziyi,Adventure / Drama / Action / Romance,92863945,7.1,21.064082
When Harry Met Sally... (1989),Rob Reiner,Meg Ryan / Billy Crystal / Carrie Fisher,Comedy / Romance / Drama,92823546,7.3,18.430419
No Reservations (2007),Scott Hicks,Catherine Zeta-Jones / Aaron Eckhart / Abigail Breslin,Comedy,92601050,6.1,15.794946
I Am Sam (2001),Jessie Nelson,Sean Penn / Michelle Pfeiffer / Dianne Wiest,Drama,92542418,7.2,26.071644
Role Models (2008),David Wain,Seann William Scott / Paul Rudd / Elizabeth Banks,Comedy,92380927,6.4,24.917665
Four Brothers (2005),John Singleton,Mark Wahlberg / Tyrese Gibson / André Benjamin,Action / Crime,92374674,6.7,24.694551
Old Dogs (2009),Walt Becker,Robin Williams / John Travolta / Seth Green,Comedy / Family,92219310,5.2,13.707843
Downfall (2004),Oliver Hirschbiegel,Bruno Ganz / Alexandra Maria Lara / Corinna Harfouch,Drama / History / War,92180910,7.7,32.445895
The Skeleton Key (2005),Iain Softley,Kate Hudson / Gena Rowlands / Peter Sarsgaard,Drama / Horror / Mystery / Thriller,91974818,6.4,29.105407
Behind Enemy Lines (2001),John Moore,Owen Wilson / Gene Hackman / Gabriel Macht,Action / Drama / Thriller / War,91753202,6.0,24.012986
Southpaw (2015),Antoine Fuqua,Jake Gyllenhaal / Rachel McAdams / Forest Whitaker,Action / Drama,91709827,7.3,65.364452
"I Love You, Man (2009)",John Hamburg,Paul Rudd / Jason Segel / Rashida Jones,Comedy,91636986,6.5,25.391899
Underworld: Rise of the Lycans (2009),Patrick Tatopoulos,Bill Nighy / Michael Sheen / Rhona Mitra,Fantasy / Action / Adventure / Science Fiction / Thriller,91353501,6.2,51.927471
White Noise (2005),Geoffrey Sax,Michael Keaton / Chandra West / Deborah Kara Unger,Drama / Horror / Thriller,91196419,5.6,14.447723
The Haunting (1999),Jan de Bont,Liam Neeson / Catherine Zeta-Jones / Owen Wilson,Horror / Thriller / Fantasy / Mystery,91188905,5.2,19.375768
Save the Last Dance (2001),Thomas Carter,Julia Stiles / Sean Patrick Thomas / Kerry Washington,Drama / Family / Romance / Music,91038276,6.3,9.969624
Romeo Must Die (2000),Andrzej Bartkowiak,Jet Li / Aaliyah / Isaiah Washington,Action / Crime / Thriller,91036760,6.0,19.750059
Fantasia 2000 (1999),James Algar,Steve Martin / Itzhak Perlman / Quincy Jones,Animation / Family / Music,90874570,7.0,14.530946
The Karate Kid (1984),John G. Avildsen,Ralph Macchio / Pat Morita / William Zabka,Drama,90815558,6.9,28.456572
Drag Me to Hell (2009),Sam Raimi,Alison Lohman / Justin Long / Lorna Raver,Horror / Thriller,90810892,6.2,45.083509
Galaxy Quest (1999),Dean Parisot,Tim Allen / Sigourney Weaver / Alan Rickman,Comedy / Family / Science Fiction,90683916,6.9,30.816341
Anchorman: The Legend of Ron Burgundy (2004),Adam McKay,Will Ferrell / Christina Applegate / Paul Rudd,Comedy,90574188,6.7,29.342744
The Mortal Instruments: City of Bones (2013),Harald Zwart,Lily Collins / Jamie Campbell Bower / Kevin Zegers,Action / Adventure / Drama / Mystery / Romance / Fantasy,90565421,6.2,45.514031
Madea Goes to Jail (2009),Tyler Perry,Tyler Perry / Derek Luke / Keshia Knight Pulliam,Comedy / Crime / Drama,90508336,6.4,3.107371
Hairspray (2007),Adam Shankman,John Travolta / Michelle Pfeiffer / Christopher Walken,Family / Comedy / Music / Romance,90450008,6.5,31.160542
Bring It On (2000),Peyton Reed,Kirsten Dunst / Jesse Bradford / Eliza Dushku,Comedy,90449929,5.8,14.754281
Final Destination 2 (2003),David R. Ellis,Ali Larter / A.J. Cook / Michael Landes,Horror / Mystery,90426405,5.9,37.355826
Trading Places (1983),John Landis,Eddie Murphy / Dan Aykroyd / Jamie Lee Curtis,Comedy,90400000,7.1,34.022209
Bedazzled (2000),Harold Ramis,Elizabeth Hurley / Brendan Fraser / Frances O'Connor,Fantasy / Comedy / Romance,90383208,5.6,19.348007
Identity (2003),James Mangold,John Cusack / Ray Liotta / Amanda Peet,Mystery / Thriller,90259536,7.1,45.915165
Rush (2013),Ron Howard,Daniel Brühl / Chris Hemsworth / Olivia Wilde,Drama / Action,90247624,7.7,33.003828
Get Him to the Greek (2010),Nicholas Stoller,Jonah Hill / Russell Brand / Rose Byrne,Comedy,90029656,5.9,17.869443
The Abyss (1989),James Cameron,Ed Harris / Mary Elizabeth Mastrantonio / Michael Biehn,Adventure / Action / Thriller / Science Fiction,90000098,7.1,24.961625
Patton (1970),Franklin J. Schaffner,George C. Scott / Karl Malden / Stephen Young,Drama / History / War,89800000,7.3,21.933822
Sucker Punch (2011),Zack Snyder,Emily Browning / Abbie Cornish / Jena Malone,Action / Fantasy / Thriller,89792502,5.9,39.127082
Burlesque (2010),Steve Antin,Cher / Christina Aguilera / Eric Dane,Drama / Romance,89519773,6.9,22.863516
Apocalypse Now (1979),Francis Ford Coppola,Martin Sheen / Marlon Brando / Robert Duvall,Drama / War,89460381,8.0,49.973462
The Long Kiss Goodnight (1996),Renny Harlin,Geena Davis / Samuel L. Jackson / Yvonne Zima,Crime / Action / Mystery / Thriller,89456761,6.5,15.858629
The Purge (2013),James DeMonaco,Lena Headey / Ethan Hawke / Max Burkholder,Science Fiction / Horror / Thriller,89328627,6.0,54.403033
The Lone Ranger (2013),Gore Verbinski,Johnny Depp / Armie Hammer / William Fichtner,Action / Adventure / Western,89289910,5.9,49.046956
Red Riding Hood (2011),Catherine Hardwicke,Amanda Seyfried / Gary Oldman / Billy Burke,Fantasy / Thriller / Horror,89162162,5.6,45.151657
My Big Fat Greek Wedding 2 (2016),Kirk Jones,John Corbett / Elena Kampouris / Nia Vardalos,Romance / Comedy / Family,88923251,5.5,16.027955
The Hundred-Foot Journey (2014),Lasse Hallström,Helen Mirren / Manish Dayal / Om Puri,Drama,88880821,7.3,27.898438
Failure to Launch (2006),Tom Dey,Matthew McConaughey / Sarah Jessica Parker / Zooey Deschanel,Comedy,88715192,5.5,18.806031
The Host (2006),Bong Joon-ho,Song Kang-ho / Park Hae-il / Bae Doona,Horror / Drama / Science Fiction,88489643,6.7,27.65527
Spotlight (2015),Tom McCarthy,Mark Ruffalo / Michael Keaton / Rachel McAdams,Drama / Thriller / History,88346473,7.8,41.503588
Shanghai Knights (2003),David Dobkin,Jackie Chan / Owen Wilson / Fann Wong,Action / Adventure / Comedy / Western,88323487,6.0,16.251204
This Is 40 (2012),Judd Apatow,Paul Rudd / Leslie Mann / Jason Segel,Comedy,88058786,5.6,38.429648
Spawn (1997),Mark A.Z. Dippé,Michael Jai White / Martin Sheen / John Leguizamo,Action / Adventure / Fantasy / Horror / Science Fiction / Thriller,87840042,5.0,19.833664
State of Play (2009),Kevin Macdonald,Russell Crowe / Ben Affleck / Rachel McAdams,Action,87784194,6.7,21.685719
Gosford Park (2001),Robert Altman,Helen Mirren / Clive Owen / Maggie Smith,Drama / Mystery / Thriller,87754044,6.8,11.693272
Ali (2001),Michael Mann,Will Smith / Jamie Foxx / Jon Voight,Drama,87713825,6.7,18.866672
About Time (2013),Richard Curtis,Domhnall Gleeson / Rachel McAdams / Bill Nighy,Comedy / Drama / Science Fiction,87100449,7.8,74.817641
Old School (2003),Todd Phillips,Luke Wilson / Will Ferrell / Vince Vaughn,Comedy,87055349,6.6,24.70166
Star Trek III: The Search for Spock (1984),Leonard Nimoy,William Shatner / Leonard Nimoy / DeForest Kelley,Science Fiction / Action / Adventure / Thriller,87000000,6.4,15.314027
The Naked Gun 2½: The Smell of Fear (1991),David Zucker,Leslie Nielsen / Priscilla Presley / George Kennedy,Comedy / Crime,86930411,6.6,27.33256
The Illusionist (2006),Neil Burger,Edward Norton / Jessica Biel / Paul Giamatti,Fantasy / Drama / Thriller / Romance,86915017,7.1,36.960953
Epic Movie (2007),Jason Friedberg,Kal Penn / Adam Campbell / Jennifer Coolidge,Action / Adventure / Comedy,86865564,3.2,6.064638
Snowpiercer (2013),Bong Joon-ho,Chris Evans / Song Kang-ho / Ed Harris,Action / Science Fiction / Drama,86758912,6.7,64.238688
The Kingdom (2007),Peter Berg,Jamie Foxx / Jennifer Garner / Chris Cooper,Thriller / Action / Drama,86658558,6.5,26.123705
Dinner for Schmucks (2010),Jay Roach,Steve Carell / Paul Rudd / Stephanie Szostak,Comedy,86387857,5.5,11.023691
Sky High (2005),Mike Mitchell,Michael Angarano / Kurt Russell / Kelly Preston,Adventure / Comedy / Family,86369815,5.8,11.041659
Paranormal Activity: The Marked Ones (2014),Christopher B. Landon,Andrew Jacobs / Richard Cabral / Carlos Pratts,Horror / Thriller,86362372,5.2,19.984477
Young Frankenstein (1974),Mel Brooks,Gene Wilder / Peter Boyle / Marty Feldman,Comedy / Science Fiction,86273333,7.7,36.444894
Pain & Gain (2013),Michael Bay,Mark Wahlberg / Dwayne Johnson / Anthony Mackie,Thriller / Crime / Action,86175291,6.1,31.893932
The Second Best Exotic Marigold Hotel (2015),John Madden,Dev Patel / Judi Dench / Richard Gere,Drama / Comedy,85978266,6.3,17.592299
Tears of the Sun (2003),Antoine Fuqua,Bruce Willis / Monica Bellucci / Cole Hauser,Action / Drama / War,85632458,6.4,27.055085
Volver (2006),Pedro Almodóvar,Penélope Cruz / Carmen Maura / Lola Dueñas,Comedy / Drama / Romance,85582407,7.3,19.747809
Spy Kids: All the Time in the World (2011),Robert Rodriguez,Jessica Alba / Mason Cook / Rowan Blanchard,Family / Comedy / Action,85564310,4.4,14.788073
Paper Towns (2015),Jake Schreier,Nat Wolff / Cara Delevingne / Justice Smith,Drama / Mystery / Romance,85512300,6.1,64.610671
Rat Race (2001),Jerry Zucker,Cuba Gooding Jr. / Seth Green / Whoopi Goldberg,Adventure / Comedy,85498534,6.0,18.60049
The Possession (2012),Ole Bornedal,Jeffrey Dean Morgan / Natasha Calis / Madison Davenport,Horror / Thriller,85446075,5.8,21.680424
Max Payne (2008),John Moore,Mark Wahlberg / Mila Kunis / Beau Bridges,Action,85416905,5.2,25.903237
The Lincoln Lawyer (2011),Brad Furman,Matthew McConaughey / Marisa Tomei / Ryan Phillippe,Crime / Drama / Thriller,85412898,7.0,26.072228
Match Point (2005),Woody Allen,Jonathan Rhys Meyers / Scarlett Johansson / Emily Mortimer,Drama / Thriller / Crime / Romance,85306374,7.3,30.669913
Stripes (1981),Ivan Reitman,Bill Murray / Harold Ramis / Warren Oates,Action / Comedy,85300000,6.5,10.892398
Did You Hear About the Morgans? (2009),Marc Lawrence,Hugh Grant / Sarah Jessica Parker / Mary Steenburgen,Comedy,85280250,5.1,14.403696
Transporter 2 (2005),Louis Leterrier,Jason Statham / Amber Valletta / Kate Nauta,Action / Thriller / Crime,85167639,6.2,47.5612
Final Fantasy: The Spirits Within (2001),Hironobu Sakaguchi,Donald Sutherland / Ming-Na Wen / Alec Baldwin,Adventure / Action / Animation / Fantasy / Science Fiction / Thriller,85131830,5.9,26.074908
Das Boot (1981),Wolfgang Petersen,Jürgen Prochnow / Herbert Grönemeyer / Klaus Wennemann,Action / Drama / History / War / Adventure,85000000,7.9,26.967494
Zodiac (2007),David Fincher,Jake Gyllenhaal / Robert Downey Jr. / Mark Ruffalo,Crime / Drama / Mystery / Thriller,84785914,7.3,51.970905
The Animal (2001),Luke Greenfield,Rob Schneider / Colleen Haskell / John C. McGinley,Action / Comedy,84772742,4.6,13.786075
Meet the Spartans (2008),Jason Friedberg,Sean Maguire / Carmen Electra / Ken Davitian,Comedy,84646831,3.7,10.608998
J. Edgar (2011),Clint Eastwood,Leonardo DiCaprio / Josh Hamilton / Geoff Pierson,Drama / Crime / History,84606030,6.0,28.069419
Made of Honor (2008),Paul Weiland,Patrick Dempsey / Michelle Monaghan / Kevin McKidd,Comedy / Romance,84601681,6.0,19.574774
The Land Before Time (1988),Don Bluth,Gabriel Damon / Candace Hutson / Judith Barsi,Animation / Adventure / Family,84460846,7.0,28.670193
Pinocchio (1940),Ben Sharpsteen,Mel Blanc / Don Brodie / Walter Catlett,Animation / Family,84300000,6.9,46.007991
Premonition (2007),Mennan Yapo,Sandra Bullock / Julian McMahon / Courtney Taylor Burness,Thriller / Drama / Mystery,84146832,5.8,22.049787
Sicario (2015),Denis Villeneuve,Emily Blunt / Benicio del Toro / Josh Brolin,Action / Crime / Drama / Mystery / Thriller,84025816,7.2,55.424027
Marmaduke (2010),Tom Dey,Owen Wilson / Emma Stone / George Lopez,Family / Comedy,83761844,5.0,12.25622
The Judge (2014),David Dobkin,Robert Duvall / Robert Downey Jr. / Vera Farmiga,Drama,83719388,7.2,42.472324
Nerve (2016),Henry Joost,Emma Roberts / Dave Franco / Emily Meade,Mystery / Adventure / Crime,83707310,7.1,62.933899
"Big Mommas: Like Father, Like Son (2011)",John Whitesell,Martin Lawrence / Brandon T. Jackson / Portia Doubleday,Crime / Comedy / Action,83615414,5.3,15.901137
Snatch (2000),Guy Ritchie,Jason Statham / Brad Pitt / Vinnie Jones,Thriller / Crime,83557872,7.7,53.595686
Airplane! (1980),Jerry Zucker,Robert Hays / Julie Hagerty / Kareem Abdul-Jabbar,Comedy,83453539,7.1,46.116885
Fantasia (1940),David Hand,Deems Taylor / Walt Disney / Julietta Novis,Animation / Family / Music,83320000,7.2,32.875469
Fiddler on the Roof (1971),Norman Jewison,Chaim Topol / Norma Crane / Leonard Frey,Drama / Romance,83304330,7.4,7.623979
Blow (2001),Ted Demme,Johnny Depp / Penélope Cruz / Ethan Suplee,Crime / Drama,83282296,7.4,28.350529
Pan's Labyrinth (2006),Guillermo del Toro,Ivana Baquero / Maribel Verdú / Sergi López,Fantasy / Drama / War,83258226,7.6,90.809408
Piranha 3D (2010),Alexandre Aja,Elisabeth Shue / Adam Scott / Jerry O'Connell,Comedy / Horror,83188165,5.3,23.343839
Hall Pass (2011),Bobby Farrelly,Owen Wilson / Jason Sudeikis / Jenna Fischer,Comedy,83160734,5.4,27.11589
Savages (2012),Oliver Stone,Blake Lively / Taylor Kitsch / Aaron Taylor-Johnson,Crime / Drama / Thriller,82966152,6.2,31.856589
Firewall (2006),Richard Loncraine,Harrison Ford / Paul Bettany / Virginia Madsen,Thriller,82800000,5.6,18.186026
28 Days Later (2002),Danny Boyle,Cillian Murphy / Naomie Harris / Noah Huntley,Horror / Thriller / Science Fiction,82719885,7.1,45.490374
The Constant Gardener (2005),Fernando Meirelles,Ralph Fiennes / Rachel Weisz / Danny Huston,Drama / Mystery / Thriller,82466670,6.8,20.679652
Carrie (2013),Kimberly Peirce,Chloë Grace Moretz / Julianne Moore / Judy Greer,Drama / Horror,82394288,5.8,63.848541
Hannibal Rising (2007),Peter Webber,Gaspard Ulliel / Aaran Thomas / Gong Li,Crime / Drama / Thriller,82169884,6.0,6.567065
Elizabeth (1998),Shekhar Kapur,Cate Blanchett / Geoffrey Rush / Christopher Eccleston,Drama / History,82150642,7.1,14.179538
Catwoman (2004),Pitof,Halle Berry / Benjamin Bratt / Sharon Stone,Action / Crime,82102379,4.2,32.271938
